word,positive,negative,word_count
wow,0.00033898305084745765,0.00011196954428395476,6
loved,0.0012428676345969155,5.598163802272855e-05,21
this,0.018528979776296462,0.017577250335871025,640
place,0.0033327684573236176,0.003190596137699412,114
crust,5.648441030275644e-05,0.00016791671331019815,2
is,0.023609149957639085,0.018917557508255443,754
not,0.0032192477126397833,0.014047459144839937,306
good,0.0099960467611679,0.0030219933963848006,229
tasty,0.0005082448610797379,0.0002238388360380526,11
and,0.03794680670845333,0.025851938895417155,1132
the,0.05601355166572558,0.05332363473589973,1943
texture,0.00011292417141889222,0.00016785094835785821,3
was,0.014566395663956639,0.017623363544813697,571
just,0.0030486083667362954,0.003748251748251748,119
nasty,0.00011290504685559444,0.00022376370552696352,4
stopped,0.00016934801016088062,0.00011187559433909493,3
by,0.0023142921652743284,0.0021814520639892605,78
during,0.0004515437150759158,0.00027965769897645283,11
late,0.00016931933626820184,0.00011185682326621924,3
may,0.0002821829674360856,0.0005033275543873385,12
bank,0.0001128668171557562,5.592215635834918e-05,1
holiday,0.00011286044805597878,5.59190292456523e-05,1
off,0.000451416318699921,0.0014538134645493178,32
rick,0.00011284771201263894,5.591277606933184e-05,1
steve,0.00022568269013766644,5.590965000559097e-05,3
recommendation,0.00022566995768688293,5.5906524291384805e-05,3
it,0.01777050660047388,0.019845706618962435,668
selection,0.000507700118463361,0.0001677008217340265,10
on,0.006204873646209386,0.006260480715483511,220
menu,0.0007332618873032884,0.00022357609971494048,15
great,0.011280315848843767,0.0005589090096132349,208
so,0.0050758558456939825,0.004582797742133795,170
were,0.003101736972704715,0.002906002011847547,105
prices,0.0005639203744431286,0.00011176306230790724,10
now,0.0010713882936731701,0.0012293249888243184,39
i,0.02362559909782915,0.02626138458959602,887
am,0.0009585024808299504,0.001117443289753045,35
getting,0.00028189660032700004,0.0005028213866696464,12
angry,5.637614161686774e-05,0.0001675977653631285,2
want,0.0007892214893736964,0.0007262164124909223,25
my,0.0071025930101465615,0.00709417942129371,251
damn,0.00011273321684234259,0.0003351393621180808,6
pho,0.00022545372562281593,0.00022341376228775692,6
honeslty,5.6360254748351465e-05,0.0001117006422786931,1
didn't,0.0004508566275924256,0.0020104992739863733,42
taste,0.0005071851225697379,0.00039090858323560616,14
that,0.00715654231939592,0.00999553272280545,304
fresh,0.0007325181720854229,0.0002791892344631191,16
potatoes,0.00016903313049357674,0.00011166945840312674,3
like,0.0032114485323116795,0.003908212830104405,125
rubber,5.6338028169014086e-05,0.00016748548459133542,2
you,0.005239141456819334,0.006308267738513928,204
could,0.0010703019378098242,0.002009601429049905,53
tell,0.0003942995550047879,0.00039073402176946693,12
they,0.002985242762194435,0.0026791694574681848,99
had,0.0040551957195156295,0.003795278227381816,138
been,0.0014642937598558234,0.0015068646054247127,51
made,0.0019710536689756153,0.0013951671410234946,58
up,0.001914630025903818,0.0022879464285714287,73
ahead,5.6309476884959736e-05,0.00011160091512750405,1
of,0.017511261261261263,0.017520366030576946,623
time,0.0028714599403186756,0.003515036545221224,112
being,0.000844499493300304,0.0011716134791341219,34
kept,0.0002251871868490683,0.0004463040446304045,10
under,0.00033776176536816035,0.00027892446725426756,9
a,0.026231353785533353,0.023484130083114854,885
warmer,5.628729032984352e-05,0.00011155734047300312,1
fries,0.0002814206112455676,0.0003346533548998829,9
too,0.0009567762269248087,0.002230897936419409,55
touch,0.0002251111486296359,0.00016730801405387318,5
service,0.0031513787281935847,0.0030113763105063572,108
very,0.008271903663271622,0.005464785590810238,243
prompt,0.00016880486158001352,5.576000892160143e-05,2
would,0.0016316885162887527,0.0032339001951491495,85
go,0.001687858669967368,0.002007136485280999,64
back,0.0014627285513361462,0.0027317834643474383,73
cashier,0.0001125112511251125,0.0001114951499609767,2
no,0.001237554142993756,0.0034561569764200903,82
care,0.0003374957813027337,0.00039018952062430326,11
what,0.0013499071938804206,0.0022295301265258345,62
ever,0.0017435320584926885,0.002619551889421469,76
to,0.017265620606265113,0.020286462687398987,669
say,0.0012372061635361601,0.0008916629514043691,36
still,0.0012371365911263566,0.001058790749512399,39
ended,0.00011246063877642825,0.0002786136186336788,5
wayyy,5.6227157717177394e-05,0.00011143923775561376,1
overpriced,5.622399640166423e-05,0.0004457321149988857,7
tried,0.0006184291898577613,0.00033428046130703663,15
cape,0.00011243534967393749,5.5710306406685235e-05,1
cod,0.00011242902917533307,5.5707202941340315e-05,1
ravoli,0.00011242270938729624,5.570409982174688e-05,1
chickenwith,0.00011241639030970715,5.5700997047847156e-05,1
cranberrymmmm,0.00011241007194244605,5.569789461958338e-05,1
disgusted,5.620187714269657e-05,0.0001113895850737956,1
because,0.0014049679667303585,0.001893517487190911,57
pretty,0.0015734756954200618,0.0008353288411204544,41
sure,0.00033715441672285906,0.0006682258603407952,16
human,0.00022475698151373826,0.00033409432596469735,8
hair,0.0001123721766490617,0.00022271714922048998,4
shocked,5.618293162537221e-05,0.00011135237458938811,1
signs,0.00011235955056179776,0.00011134617525887985,2
indicate,5.617661929105106e-05,0.00011133997661860491,1
cash,5.617346365576902e-05,0.00011133377866844801,1
only,0.0012919170926248384,0.0031728360701363764,78
highly,0.0011233430689732643,0.00027830346209506846,23
recommended,0.0004493119910137602,0.0002226303779150665,10
waitress,0.000336965067954622,0.00027827248441674086,9
little,0.0008985230527320717,0.001168679392286716,35
slow,5.615453728661276e-05,0.0011686143572621035,20
in,0.011623336515245102,0.010850815202270325,400
worth,0.0009545199326221224,0.0006677053193857111,27
your,0.0017966425242827465,0.002893228731986869,82
let,0.00016842578037278239,0.0003894514298431067,8
alone,0.00011227755010385674,0.00016689847009735743,3
vegas,0.000898169978668463,0.0003894080996884735,21
did,0.001122649452708392,0.0017244256550036157,49
at,0.002694207453973956,0.0049504950495049506,135
all,0.0040972105292697986,0.004227153901774292,147
burrittos,5.6123021663486364e-05,0.00011123470522803115,1
blah,5.611987204669173e-05,0.00016684277848840444,2
food,0.0034231200897867566,0.003670337003670337,125
amazing,0.0016834072162056001,0.000222432297169549,32
also,0.002524969139266076,0.0017237544483985766,74
cute,0.0002805363855692083,5.560189046427579e-05,4
less,0.0003927289048473968,0.0003335927943956411,11
interior,0.00011220196353436185,5.559570801134152e-05,1
beautiful,0.0010097610232245036,5.55926173004225e-05,17
performed,0.00011218937566612442,0.0001111790538662516,2
that's,0.0004487323311644604,0.00033351862145636465,12
rightthe,0.0001121767906220203,5.558334722917014e-05,1
red,0.0001682557487380819,0.00016674077367718985,4
velvet,0.00011216420840109921,5.557716889901629e-05,1
cakeohhh,0.00011215791834903544,5.5574080248971876e-05,1
stuff,0.0002803790725060281,0.00011114198388441234,5
never,0.00084109005270831,0.0021115803511891533,51
brought,0.00011213905242500701,0.0001666944490748458,3
salad,0.00044853106077595876,0.000500055561729081,15
we,0.002354656052026686,0.003055725318073226,95
asked,5.606009642336585e-05,0.0003333333333333333,5
for,0.008969112618420315,0.009888339536692405,336
hole,0.00011210762331838565,5.554938340184424e-05,1
wall,0.00028025334902752086,0.00022218519135699605,7
has,0.003306804169936106,0.0016662963785825371,87
mexican,0.0002802219357731323,5.554012774229381e-05,4
street,0.00016812373907195696,5.553704320781961e-05,2
tacos,0.0002241524236480807,0.0001110679180318765,4
friendly,0.0014008741454667713,0.0002776543758329631,28
staff,0.0008965092172353897,0.00027763895829862847,19
took,0.00016808606006275212,0.0006107717934480844,12
an,0.0035856350495826095,0.0023874299039475877,105
hour,0.00022408963585434174,0.0006107039751276927,13
get,0.001232423953840121,0.0019430411369566424,55
our,0.001568451714093659,0.0012767847229932276,49
